Insert(-212.56,Value0)
Insert(628.81,Value1)
Insert(-1148.82,Value2)
Insert(901.53,Value3)
Insert(-1083.6,Value4)
Insert(157.92,Value5)
Insert(731.13,Value6)
Insert(-133.3,Value7)
Insert(140.36,Value8)
Insert(-1302.33,Value9)
Insert(-300.74,Value10)
Insert(1412.78,Value11)
Insert(-1195.77,Value12)
Insert(-1081.19,Value13)
Insert(-196.68,Value14)
Insert(-480.51,Value15)
Insert(-604.27,Value16)
Insert(-531.58,Value17)
Insert(574.21,Value18)
Insert(1112.63,Value19)
Insert(1422.59,Value20)
Insert(503.92,Value21)
Insert(845.74,Value22)
Insert(569.95,Value23)
Insert(1377.69,Value24)
Insert(1281.7,Value25)
Insert(-867.79,Value26)
Insert(-314.99,Value27)
Insert(1436.12,Value28)
Insert(-809.03,Value29)
Insert(771.4,Value30)
Insert(690.5,Value31)
Insert(771.81,Value32)
Insert(-174.97,Value33)
Insert(705.73,Value34)
Insert(343.76,Value35)
Insert(112.45,Value36)
Insert(215.44,Value37)
Insert(1440.46,Value38)
Insert(-45.3,Value39)
Insert(1466.36,Value40)
Insert(686.6,Value41)
Insert(160.14,Value42)
Insert(1443.28,Value43)
Insert(438.9,Value44)
Insert(1150.07,Value45)
Insert(-163.6,Value46)
Insert(689.93,Value47)
Insert(1001.57,Value48)
Insert(565.17,Value49)
Insert(-1270.05,Value50)
Insert(1026.4,Value51)
Insert(-1448.51,Value52)
Insert(1166.3,Value53)
Insert(597.93,Value54)
Insert(-326.27,Value55)
Insert(212.6,Value56)
Insert(-121.74,Value57)
Insert(-220.83,Value58)
Insert(885.01,Value59)
Insert(-679.87,Value60)
Insert(888.78,Value61)
Insert(-589.65,Value62)
Insert(533.51,Value63)
Insert(17.85,Value64)
Insert(163.6,Value65)
Insert(-427.63,Value66)
Insert(-164.94,Value67)
Insert(-1102.19,Value68)
Insert(438.49,Value69)
Insert(641.21,Value70)
Insert(-408.02,Value71)
Insert(-1129.78,Value72)
Insert(1405.32,Value73)
Insert(338.41,Value74)
Insert(185.17,Value75)
Insert(900.91,Value76)
Insert(-518.35,Value77)
Insert(-1400.75,Value78)
Insert(216.7,Value79)
Insert(434.37,Value80)
Insert(-768.63,Value81)
Insert(-1232.5,Value82)
Insert(251.56,Value83)
Insert(-288.99,Value84)
Insert(-791.27,Value85)
Insert(-290.36,Value86)
Insert(-322.45,Value87)
Insert(-868.96,Value88)
Insert(839.64,Value89)
Insert(278.85,Value90)
Insert(418.42,Value91)
Insert(706.33,Value92)
Insert(-143.99,Value93)
Insert(1422.06,Value94)
Insert(-820.76,Value95)
Insert(-1270.54,Value96)
Insert(1153.75,Value97)
Insert(1460.44,Value98)
Insert(-625.27,Value99)
Insert(240.97,Value100)
Insert(1331.81,Value101)
Insert(-928.37,Value102)
Insert(-134.34,Value103)
Insert(-1134.61,Value104)
Insert(-695.47,Value105)
Insert(-1128.49,Value106)
Insert(369.29,Value107)
Insert(1409.47,Value108)
Insert(489.29,Value109)
Insert(618.82,Value110)
Insert(-653.43,Value111)
Insert(-1479.5,Value112)
Insert(-765.18,Value113)
Insert(770.17,Value114)
Insert(900.94,Value115)
Insert(91.12,Value116)
Insert(1450.16,Value117)
Insert(-1258.66,Value118)
Insert(745.61,Value119)
Insert(476.55,Value120)
Insert(-492.19,Value121)
Insert(-1470.06,Value122)
Insert(968.56,Value123)
Insert(-1129.49,Value124)
Insert(528.78,Value125)
Insert(641.8,Value126)
Insert(-409.23,Value127)
Insert(21.8,Value128)
Insert(1194.67,Value129)
Insert(-945.85,Value130)
Insert(870.95,Value131)
Insert(94.09,Value132)
Insert(242.37,Value133)
Insert(776.91,Value134)
Insert(1412.34,Value135)
Insert(625.92,Value136)
Insert(1197.91,Value137)
Insert(9.53,Value138)
Insert(-179.36,Value139)
Insert(-986.71,Value140)
Insert(-1057.45,Value141)
Insert(1159.74,Value142)
Insert(138.98,Value143)
Insert(-919.33,Value144)
Insert(1343.45,Value145)
Insert(385.27,Value146)
Insert(-413.85,Value147)
Insert(-152.26,Value148)
Insert(-276.59,Value149)
Insert(983.24,Value150)
Insert(-861.39,Value151)
Insert(1082.62,Value152)
Insert(-824.23,Value153)
Insert(885.14,Value154)
Insert(296.2,Value155)
Insert(81.23,Value156)
Insert(-1225.09,Value157)
Insert(637.26,Value158)
Insert(-313.98,Value159)
Insert(1420.8,Value160)
Insert(943.59,Value161)
Insert(1028.3,Value162)
Insert(-1131.06,Value163)
Insert(-853.91,Value164)
Insert(804.72,Value165)
Insert(-981.01,Value166)
Insert(-210.9,Value167)
Insert(-493.25,Value168)
Insert(1252.51,Value169)
Insert(-1293.48,Value170)
Insert(808.59,Value171)
Insert(-882.92,Value172)
Insert(-443.82,Value173)
Insert(-957.65,Value174)
Insert(1335.75,Value175)
Insert(1311.9,Value176)
Insert(-1392.82,Value177)
Insert(1363.0,Value178)
Insert(60.02,Value179)
Insert(-634.37,Value180)
Insert(95.8,Value181)
Insert(243.93,Value182)
Insert(171.43,Value183)
Insert(-105.59,Value184)
Insert(-247.19,Value185)
Insert(264.64,Value186)
Insert(27.83,Value187)
Insert(-451.02,Value188)
Insert(-321.97,Value189)
Insert(-1366.64,Value190)
Insert(-1201.0,Value191)
Insert(655.06,Value192)
Insert(755.7,Value193)
Insert(484.22,Value194)
Insert(1156.59,Value195)
Insert(-818.12,Value196)
Insert(487.34,Value197)
Insert(-120.29,Value198)
Insert(-1382.44,Value199)
Insert(-819.08,Value200)
Insert(-38.89,Value201)
Insert(-459.4,Value202)
Insert(124.6,Value203)
Insert(-1425.31,Value204)
Insert(268.07,Value205)
Insert(1421.75,Value206)
Insert(-307.44,Value207)
Insert(-1031.45,Value208)
Insert(-1388.85,Value209)
Insert(-1029.46,Value210)
Insert(306.62,Value211)
Insert(104.48,Value212)
Insert(1160.81,Value213)
Insert(-1390.33,Value214)
Insert(843.37,Value215)
Insert(97.16,Value216)
Insert(826.19,Value217)
Insert(-958.74,Value218)
Insert(-255.65,Value219)
Insert(42.08,Value220)
Insert(-1317.72,Value221)
Insert(-878.73,Value222)
Insert(105.98,Value223)
Insert(932.82,Value224)
Insert(-1417.82,Value225)
Insert(-51.49,Value226)
Insert(168.79,Value227)
Insert(155.61,Value228)
Insert(-418.22,Value229)
Insert(1113.23,Value230)
Insert(-1115.29,Value231)
Insert(-1184.43,Value232)
Insert(1043.49,Value233)
Insert(892.68,Value234)
Insert(291.98,Value235)
Insert(-1397.24,Value236)
Insert(1401.88,Value237)
Insert(1016.7,Value238)
Insert(1007.59,Value239)
Insert(-1212.65,Value240)
Insert(-1021.82,Value241)
